,X1,X2
analcatdata_neavote.arff,0.19357780958366078,0.2181297898530072
fri_c4_1000_100.arff,0.054050518331054655,-0.20266498543824024
fri_c4_500_100.arff,-0.137364714584715,-0.19406875981554586
robot-failures-lp4_php44ZCDh.arff,-0.27919209275758555,0.09159015152250916
fri_c4_250_50.arff,-0.14216340709677938,-0.19568600342970846
pwLinear.arff,0.40091456369236367,-0.00887483088315574
twonorm_phpxijhaP.arff,0.2381197114926351,0.0051270813633986475
socmob.arff,0.3238772394320251,0.2359745460440275
stock.arff,0.09864936358446166,0.34937126598621737
fri_c0_500_10.arff,0.26495410769499944,-0.13292383803444177
fri_c1_250_10.arff,0.24297673635416858,-0.15515191976433257
autoUniv-au7-1100_phpmRPvKy.arff,0.26230735779491654,-0.23051697839217888
vehicle.arff,0.0483090472825964,0.2310200873691686
mu284.arff,-0.3994609958382097,0.4104345934308297
vowel.arff,-0.01678767358244402,0.4977753390706147
seismic-bumps_phpvz1IQW.arff,-0.2524190264475822,-0.01242305410843386
hill-valley_php3isjYz.arff,-0.022730000994891197,-0.1795295911841774
fri_c0_250_5.arff,0.35122470771505454,-0.04407920760070042
fri_c4_100_50.arff,-0.19190532929982856,-0.1809129272238099
backache.arff,0.14021062181952293,0.0659038458929761
fri_c3_250_25.arff,0.07235945480734633,-0.19201562161309652
fri_c1_500_5.arff,0.4050478929840386,0.01046245021829985
fri_c2_500_25.arff,0.20200331688397552,-0.18603602699452834
boston_housing.arff,0.24427477688748786,0.10542776063391579
climate-model-simulation-crashes_phpXeun7q.arff,0.0347067408074661,-0.06026244120205188
fri_c3_1000_5.arff,0.4065910321336411,0.09265465118231243
fri_c1_100_50.arff,-0.19784833910228683,-0.18178019059561548
MagicTelescope.arff,-0.3988053917140934,0.46773620298603846
balance-scale.arff,0.49328636644941753,0.10401455615816571
wisconsin.arff,-0.13248782214645835,-0.21113023781359275
fri_c0_500_50.arff,0.04199412257833256,-0.18107259089682567
wdbc_phpAmSP4g.arff,-0.16291237704793307,0.2749728418924216
parkinsons_php4ylQmK.arff,-0.13416514881240907,0.20101052229289615
seeds_phpPrh7lv.arff,-0.2524819623296378,-0.010490252156928339
chscase_vine2.arff,0.4335924810971438,0.0940538924952458
fri_c1_250_50.arff,-0.11586180952373606,-0.191538275526793
fri_c3_100_25.arff,-0.14535318482879853,-0.1933701715996268
fri_c0_100_25.arff,-0.16145535805991607,-0.18805750011625716
analcatdata_wildcat.arff,0.36719395065050087,0.01448956008405582
