openml, cpu.arff, f1=0.7064996727983399, f1_std=0.1870667085136327, f2=8.190200936361676e-05, f2_std=0.0, f3=0.5550239234449761, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.004289045053674112, l1_std=0.0, l2=0.004784688995215336, l2_std=0.0, l3=0.0, l3_std=0.0, n1=0.10526315789473684, n1_std=0.0, n2=0.14749540994852944, n2_std=0.16225268610309926, n3=0.03827751196172249, n3_std=0.19186543211256862, n4=0.15311004784688995, n4_std=0.36009354492300055, t1=0.06698564593301436, t1_std=0.0, t2=0.03349282296650718, t2_std=0.0
openml, fri_c2_1000_50.arff, f1=0.9918558965898066, f1_std=0.02609343133100973, f2=0.654763239365471, f2_std=0.0, f3=0.986, f3_std=0.0, f4=0.779, f4_std=0.0, l1=0.15674118868844134, l1_std=0.0, l2=0.261, l2_std=0.0, l3=0.21699999999999997, l3_std=0.0, n1=0.561, n1_std=0.0, n2=0.49605191876369087, n2_std=0.019383013033771105, n3=0.407, n3_std=0.4912748721438947, n4=0.266, n4_std=0.44186423254207846, t1=1.0, t1_std=0.0, t2=0.05, t2_std=0.0
openml, waveform-5000.arff, f1=0.9641853722843827, f1_std=0.06818099951756885, f2=0.015497786477485247, f2_std=0.0, f3=0.8508, f3_std=0.0, f4=0.7882, f4_std=0.0, l1=0.09348905980572042, l1_std=0.0, l2=0.14, l2_std=0.0, l3=0.09099999999999997, l3_std=0.0, n1=0.2764, n1_std=0.0, n2=0.47420444672213646, n2_std=0.029963833929862634, n3=0.1988, n3_std=0.3990971811476498, n4=0.2732, n4_std=0.4456026929900671, t1=0.9926, t1_std=0.0, t2=0.008, t2_std=0.0
openml, cpu_small.arff, f1=0.843277126473938, f1_std=0.10846782870261697, f2=3.42341819094734e-06, f2_std=0.0, f3=0.879150390625, f3_std=0.0, f4=0.783203125, f4_std=0.0, l1=0.06108918378054928, l1_std=0.0, l2=0.085205078125, l2_std=0.0, l3=0.045654296875, l3_std=0.0, n1=0.1534423828125, n1_std=0.0, n2=0.30448902391128185, n2_std=0.1533277343531025, n3=0.0992431640625, n3_std=0.29898822459983887, n4=0.3038330078125, n4_std=0.4599114166620669, t1=0.2811279296875, t1_std=0.0, t2=0.00146484375, t2_std=0.0
openml, fri_c2_1000_10.arff, f1=0.9664481670169692, f1_std=0.04600367352914191, f2=0.8657646117658108, f2_std=0.0, f3=0.991, f3_std=0.0, f4=0.96, f4_std=0.0, l1=0.17521500651745714, l1_std=0.0, l2=0.249, l2_std=0.0, l3=0.259, l3_std=0.0, n1=0.388, n1_std=0.0, n2=0.4558622330214183, n2_std=0.06458354575288931, n3=0.246, n3_std=0.43067853440820564, n4=0.32, n4_std=0.46647615158762396, t1=0.883, t1_std=0.0, t2=0.01, t2_std=0.0
openml, fri_c0_1000_25.arff, f1=0.9811279427752282, f1_std=0.04738922744515317, f2=0.8864196022579899, f2_std=0.0, f3=0.974, f3_std=0.0, f4=0.864, f4_std=0.0, l1=0.11551734836075012, l1_std=0.0, l2=0.16100000000000003, l2_std=0.0, l3=0.137, l3_std=0.0, n1=0.516, n1_std=0.0, n2=0.4887099866109573, n2_std=0.02801106152089402, n3=0.354, n3_std=0.4782091592598368, n4=0.241, n4_std=0.4276903085177405, t1=0.999, t1_std=0.0, t2=0.025, t2_std=0.0
openml, mfeat-fourier.arff, f1=0.929759163934553, f1_std=0.07944195668349992, f2=3.1381198672807624e-21, f2_std=0.0, f3=0.286, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0, l1_std=0.0, l2=0.0, l2_std=0.0, l3=0.0, l3_std=0.0, n1=0.001, n1_std=0.0, n2=0.34545371124500135, n2_std=0.05987160587005793, n3=0.0, n3_std=0.0, n4=0.1905, n4_std=0.39269549271668497, t1=0.2945, t1_std=0.0, t2=0.038, t2_std=0.0
openml, chscase_census6.arff, f1=0.9984758927639654, f1_std=0.0016158757580991892, f2=0.16318067624742857, f2_std=0.0, f3=0.985, f3_std=0.0, f4=0.94, f4_std=0.0, l1=0.29203538409274765, l1_std=0.0, l2=0.4125, l2_std=0.0, l3=0.4125, l3_std=0.0, n1=0.6675, n1_std=0.0, n2=0.4971312434128839, n2_std=0.07780412704656901, n3=0.4575, n3_std=0.49819047562152374, n4=0.4475, n4_std=0.4972361109171376, t1=0.9, t1_std=0.0, t2=0.015, t2_std=0.0
openml, user-knowledge_phpSOw1Kl.arff, f1=0.769780437342561, f1_std=0.3146088967693928, f2=0.11925420750743976, f2_std=0.14745129109925298, f3=0.30120124391119607, f3_std=0.30371013758303783, f4=0.110321665793079, f4_std=0.13959239313286137, l1=0.016928466177724467, l1_std=0.039141823329790354, l2=0.03179367218334876, l2_std=0.08294346396885088, l3=0.035977729505623765, l3_std=0.06962138111231271, n1=0.34739454094292804, n1_std=0.0, n2=0.40586173286308364, n2_std=0.11184956105749547, n3=0.20595533498759305, n3_std=0.4043979908181312, n4=0.34491315136476425, n4_std=0.47533995138257784, t1=0.6501240694789082, t1_std=0.0, t2=0.01240694789081886, t2_std=0.0
openml, fri_c1_500_10.arff, f1=0.9777351787003106, f1_std=0.037359399117640135, f2=0.8516182202510412, f2_std=0.0, f3=0.988, f3_std=0.0, f4=0.93, f4_std=0.0, l1=0.16830898777157743, l1_std=0.0, l2=0.32999999999999996, l2_std=0.0, l3=0.29600000000000004, l3_std=0.0, n1=0.422, n1_std=0.0, n2=0.4582174591781523, n2_std=0.059253209036262314, n3=0.256, n3_std=0.4364218143035474, n4=0.368, n4_std=0.48226133993924913, t1=0.928, t1_std=0.0, t2=0.02, t2_std=0.0
