dataset,F1,F2,F3,F4,L1,L2,L3,N1,N2,N3,N4,T1,T2
twonorm_phpxijhaP.arff,0.8333557256547015,0.0041164710617597,0.9902702702702704,0.8952702702702703,0.018966542440281,0.020135135135135,0.0079729729729729,0.0886486486486486,0.4389714058995546,0.0548648648648648,0.2027027027027027,0.7598648648648648,0.0027027027027027
socmob.arff,0.8704020658344545,0.1311804904194024,0.7162629757785467,0.7162629757785467,0.0596060167695042,0.0700692041522491,0.0493079584775086,0.1254325259515571,0.2703259140208158,0.0657439446366782,0.2448096885813148,0.1980968858131488,0.0043252595155709
stock.arff,0.884285958191475,0.0930172427407124,0.5968421052631578,0.2221052631578947,0.0989738689140989,0.1252631578947368,0.163157894736842,0.0663157894736842,0.165497596777906,0.0347368421052631,0.4189473684210526,0.0989473684210526,0.0094736842105263
fri_c0_500_10.arff,0.9502164618776096,0.8683651851758214,0.96,0.86,0.1053520849801192,0.15,0.13,0.42,0.4658246552029794,0.256,0.336,0.912,0.02
fri_c1_250_10.arff,0.9659723533097176,0.8232162569219044,0.96,0.808,0.1683363494891938,0.276,0.2159999999999999,0.448,0.4645048029482861,0.268,0.368,0.936,0.04
autoUniv-au7-1100_phpmRPvKy.arff,0.9753985731933756,0.9655206793960878,0.9838284859913424,0.970366790112866,0.2040958294076131,0.323209030272185,0.2994898190201988,0.8372727272727273,0.5437446707556903,0.6845454545454546,0.6763636363636364,0.96,0.0109090909090909
vehicle.arff,0.973854341089296,0.0027260663124846,0.7718676122931442,0.317966903073286,0.0174929727355362,0.0283687943262411,0.16903073286052,0.0744680851063829,0.3363178366890973,0.0260047281323877,0.2907801418439716,0.3640661938534279,0.0212765957446808
mu284.arff,0.8445132391160459,0.0,0.0,0.0,0.0025928514125833,0.0140845070422535,0.0176056338028168,0.0950704225352112,0.2185933325455854,0.0387323943661971,0.0387323943661971,0.1619718309859155,0.0352112676056338
vowel.arff,0.951089797049873,0.0181613049956013,0.5959595959595959,0.0919191919191919,0.011900398459205,0.0262626262626262,0.0242424242424242,0.0262626262626262,0.1203334191136271,0.0,0.1474747474747474,0.0505050505050505,0.0131313131313131
seismic-bumps_phpvz1IQW.arff,0.3182269381394485,0.0022065485011873,0.2166666666666666,0.0,0.0086569306060065,0.0142857142857142,0.0142857142857142,0.1285714285714285,0.2911505964015317,0.0666666666666666,0.0333333333333333,0.219047619047619,0.0333333333333333
hill-valley_php3isjYz.arff,0.999130039476502,0.0010320523545517,0.9933993399339934,0.3077557755775577,0.1191034302485911,0.3671617161716172,0.4455445544554455,0.5594059405940595,0.4895785725784348,0.3968646864686468,0.5107260726072608,0.9694719471947196,0.0825082508250825
fri_c0_250_5.arff,0.9175750078185818,0.8768859333486674,0.952,0.864,0.1273705168543908,0.168,0.2079999999999999,0.364,0.4090731120602934,0.204,0.3,0.596,0.02
fri_c4_100_50.arff,0.9903710376511116,0.0284558956588219,0.88,0.0,0.1665989368817499,0.15,0.28,0.56,0.4945347131232234,0.42,0.23,1.0,0.5
backache.arff,0.9831281920077688,0.0,0.8277777777777777,0.6111111111111112,0.0886439271552297,0.0833333333333333,0.1055555555555555,0.3166666666666666,0.389534375549277,0.2111111111111111,0.1777777777777777,0.4888888888888889,0.1777777777777777
fri_c3_250_25.arff,0.9892661140247756,0.2896973409151528,0.952,0.536,0.1689412515113963,0.264,0.24,0.54,0.4926241098896659,0.376,0.284,1.0,0.1
fri_c1_500_5.arff,0.9534761346059464,0.9451037017484096,0.98,0.95,0.1820876650449153,0.294,0.2319999999999999,0.286,0.3914867255675036,0.166,0.324,0.472,0.01
fri_c2_500_25.arff,0.9904716167251822,0.6715157452512086,0.98,0.774,0.1641796617576634,0.312,0.312,0.484,0.4880182323061384,0.354,0.276,1.0,0.05
boston_housing.arff,0.8402653072050993,0.017553621094276,0.8517786561264822,0.6146245059288538,0.0887699522665114,0.1166007905138339,0.075098814229249,0.2806324110671936,0.328010205669367,0.1561264822134387,0.3873517786561264,0.3320158102766798,0.025691699604743
climate-model-simulation-crashes_phpXeun7q.arff,0.9857917873713256,0.3449172415551227,0.7944444444444444,0.4444444444444444,0.0783879150747147,0.0851851851851851,0.0851851851851851,0.1981481481481481,0.4491704368071826,0.1462962962962962,0.0759259259259259,0.8777777777777778,0.037037037037037
fri_c3_1000_5.arff,0.9648368656932206,0.4887434579498657,0.965,0.941,0.1654845146026601,0.346,0.3129999999999999,0.205,0.3507376122662782,0.119,0.375,0.319,0.005
fri_c1_100_50.arff,0.9881274909067784,0.0887757608678252,0.85,0.0,0.1184219945373564,0.0799999999999999,0.17,0.61,0.4952980555209937,0.43,0.21,1.0,0.5
MagicTelescope.arff,0.8956442523744321,0.0,0.0,0.0,0.0006166567134294,0.002260778128286,0.0001577287066245,0.0328601472134595,0.2873675993778605,0.016508937960042,0.0178759200841219,0.138117770767613,0.0005783385909568
balance-scale.arff,0.8431189210352785,1.0,1.0,1.0,0.0572972347466744,0.048,0.0816,0.24,0.3501371441121332,0.1264,0.2784,0.2368,0.0064
wisconsin.arff,0.9784311696660898,0.0003008129732953,0.9484536082474226,0.0412371134020618,0.1651346315540207,0.3041237113402062,0.4278350515463918,0.6443298969072165,0.5003528978647364,0.4948453608247423,0.3350515463917525,0.979381443298969,0.1649484536082474
fri_c0_500_50.arff,0.9874214137082946,0.6184590611674492,0.946,0.348,0.1016718003580313,0.126,0.122,0.552,0.4948284935066369,0.366,0.246,1.0,0.1
wdbc_phpAmSP4g.arff,0.7155573129362313,5.6831345172002677e-11,0.4833040421792619,0.0,0.0124661572566563,0.0087873462214411,0.0140597539543058,0.0738137082601054,0.3610667777834198,0.0492091388400703,0.2671353251318102,0.2179261862917399,0.0527240773286467
parkinsons_php4ylQmK.arff,0.8758284814224635,7.71167528363711e-10,0.6410256410256411,0.0,0.0771905810511942,0.082051282051282,0.1384615384615384,0.1538461538461538,0.3212137547946676,0.0615384615384615,0.282051282051282,0.3282051282051282,0.1128205128205128
seeds_phpPrh7lv.arff,0.3182269381394485,0.0022065485011873,0.2166666666666666,0.0,0.0086596279495042,0.0142857142857142,0.0071428571428571,0.1285714285714285,0.2911505964015317,0.0666666666666666,0.0428571428571428,0.219047619047619,0.0333333333333333
chscase_vine2.arff,0.9983305470500544,0.9607843137254902,0.9615384615384616,0.8547008547008547,0.3117647058824273,0.4529914529914529,0.4529914529914529,0.2158119658119658,0.2504690465958935,0.1388888888888889,0.4145299145299145,0.2158119658119658,0.0042735042735042
fri_c1_250_50.arff,0.9898056106882824,0.3798741130154529,0.944,0.0,0.1597249401396424,0.1879999999999999,0.164,0.596,0.4951550531529008,0.408,0.224,1.0,0.2
fri_c3_100_25.arff,0.9866650512987392,0.1960174189868038,0.91,0.0,0.1642245350053426,0.24,0.3,0.57,0.4886197061295138,0.37,0.26,1.0,0.25
fri_c0_100_25.arff,0.9747244594651572,0.2931884011292992,0.84,0.0,0.0675450423110196,0.06,0.1999999999999999,0.58,0.4897847880698138,0.38,0.2,1.0,0.25
analcatdata_wildcat.arff,0.8730403810423131,0.491677860602945,0.8282208588957055,0.803680981595092,0.1503839069841913,0.2024539877300614,0.214723926380368,0.3742331288343558,0.2885706327105105,0.2331288343558282,0.1779141104294478,0.3742331288343558,0.0306748466257668
fri_c0_1000_10.arff,0.954524628271128,0.8998430251701464,0.958,0.908,0.1109922878613339,0.155,0.147,0.463,0.4683888576872506,0.304,0.323,0.921,0.01
tecator.arff,0.9454882588826335,1.2254891658848108e-13,0.3833333333333333,0.0,0.0045449569289368,0.0083333333333333,0.025,0.2958333333333333,0.3158947918144005,0.125,0.3083333333333333,0.5166666666666667,0.5166666666666667
fertility_php9pgo5r.arff,0.987425770786484,0.3838297872340426,0.98,0.95,0.1071191519531781,0.12,0.12,0.24,0.3464466936734376,0.15,0.15,0.29,0.09
wall-robot-navigation_phptrBBuY.arff,0.7517959356635415,0.0,0.0,0.0,0.0014867802033532,0.0056822364170965,0.0007188996928252,0.0588343108504398,0.1249605858379176,0.0258431085043988,0.4712243401759531,0.0843108504398826,0.000733137829912
space_ga.arff,0.9551999986006328,0.1595644225947546,0.9517219182491148,0.9378822014805278,0.1174163028349185,0.1564209848728677,0.3189571934341808,0.3311876408110717,0.397557281836903,0.1979401351786289,0.431927904731252,0.4805278403604763,0.0019311232700354
